Frame,X,Y
0,39,69
0,402,55
0,6,66
0,256,61
0,350,77
0,74,76
0,228,78
0,134,61
0,98,69
0,155,78
0,288,77
1,39,69
1,397,53
1,5,66
1,269,65
1,350,77
1,79,77
1,247,75
1,152,57
1,320,59
1,288,77
1,376,56
1,136,70
1,173,69
1,109,64
2,20,74
2,387,52
2,269,66
2,351,77
2,80,74
2,53,78
2,310,59
2,133,62
2,287,77
2,153,57
2,238,60
2,110,65
2,336,56
3,373,50
3,39,69
3,5,66
3,269,70
3,350,77
3,78,73
3,288,77
3,310,57
3,133,62
3,103,69
3,153,57
4,39,69
4,354,49
4,5,66
4,270,69
4,306,71
4,351,77
4,60,78
4,84,76
4,287,55
4,134,61
4,332,52
5,39,69
5,331,48
5,270,68
5,15,64
5,324,69
5,351,77
5,61,75
5,252,58
5,106,67
5,131,63
5,223,73
5,145,78
5,81,73
5,186,59
5,310,51
6,39,69
6,270,73
6,5,65
6,300,47
6,340,68
6,146,78
6,227,58
6,167,59
6,134,62
6,81,77
6,111,71
6,264,52
6,59,77
6,210,73
6,192,62
7,38,68
7,4,67
7,270,72
7,254,60
7,355,66
7,78,69
7,208,57
7,124,63
7,232,52
7,101,66
7,154,77
7,59,76
7,166,61
7,145,58
8,38,68
8,5,65
8,270,71
8,368,65
8,230,46
8,350,77
8,172,58
8,68,69
8,142,56
8,192,47
8,95,66
8,154,77
8,311,67
8,120,61
8,291,78
8,208,59
9,36,68
9,5,65
9,254,60
9,380,63
9,185,46
9,350,77
9,64,72
9,143,58
9,101,66
9,164,50
9,122,60
9,150,78
9,290,78
10,4,65
10,254,60
10,25,69
10,390,61
10,135,46
10,48,75
10,351,77
10,95,49
10,79,65
10,152,57
10,151,78
10,115,50
10,318,65
10,106,78
11,15,66
11,255,64
11,80,47
11,397,60
11,38,75
11,350,77
11,53,45
11,76,74
11,153,57
11,35,55
11,128,62
11,96,70
11,146,78
11,368,63
11,282,64
12,38,69
12,23,48
12,255,63
12,402,58
12,2,75
12,350,77
12,76,77
12,152,57
12,185,78
13,38,69
13,14,65
13,256,61
13,403,56
13,388,78
13,350,77
13,75,77
13,95,77
13,152,57
13,205,77
13,126,62
13,367,58
14,39,69
14,5,66
14,401,55
14,269,66
14,350,77
14,75,73
14,99,77
14,152,57
14,227,77
14,297,61
15,39,69
15,396,53
15,14,65
15,268,66
15,350,77
15,79,77
15,248,75
15,352,55
15,152,58
15,208,65
15,99,76
15,132,62
16,38,69
16,385,51
16,4,65
16,267,66
16,350,77
16,82,73
16,119,77
16,151,57
16,195,65
16,231,60
17,38,69
17,371,50
17,5,66
17,255,62
17,289,72
17,350,77
17,61,77
17,100,69
17,151,57
17,82,78
17,144,77
17,174,76
17,340,52
17,304,55
17,231,59
18,38,69
18,351,48
18,14,64
18,268,67
18,308,70
18,350,77
18,80,78
18,106,68
18,151,57
18,222,58
18,288,70
19,38,69
19,15,64
19,269,68
19,327,48
19,326,69
19,350,77
19,224,55
19,64,73
19,116,66
19,244,58
19,87,69
19,152,57
19,153,78
19,281,51
19,199,58
20,38,69
20,14,65
20,268,66
20,341,67
20,297,46
20,95,75
20,151,78
20,216,58
20,73,70
20,240,57
20,176,57
20,139,61
21,37,69
21,2,67
21,269,67
21,356,66
21,264,46
21,19,78
21,215,49
21,144,78
21,189,57
21,64,76
21,95,75
21,134,60
21,240,57
22,36,68
22,14,66
22,268,71
22,369,64
22,217,45
22,349,77
22,180,53
22,80,66
22,159,51
22,119,58
22,143,74
22,57,76
23,36,70
23,14,65
23,253,60
23,380,63
23,96,64
23,349,77
23,177,45
23,151,51
23,127,62
23,74,69
23,150,78
23,272,69
24,13,65
24,268,69
24,386,78
24,127,45
24,44,74
24,349,77
24,72,54
24,104,53
24,84,71
24,146,58
24,153,77
24,191,69
24,288,78
24,332,65
24,372,62
25,12,65
25,252,60
25,386,78
25,35,73
25,72,46
25,396,59
25,44,44
25,348,77
25,84,71
25,145,58
25,106,65
25,163,78
25,63,75
25,368,60
25,288,78
25,308,65
26,36,69
26,253,62
26,18,56
26,400,57
26,348,77
26,12,77
26,72,77
26,94,67
26,186,78
26,145,58
26,366,60
